               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 122,            0.036715,            0.010721,           0.0070545,             0.97208,             0.99588,               0.995,             0.75519,            0.037677,           0.0054917,           0.0038686,           0.0076042,           0.0076042,           0.0076042
                 123,             0.03933,           0.0096076,           0.0071144,             0.78148,                   1,             0.92614,             0.64187,            0.034555,           0.0056739,           0.0040136,           0.0075844,           0.0075844,           0.0075844
                 124,              0.0414,           0.0091823,           0.0073943,             0.78148,                   1,             0.92614,             0.64187,            0.034555,           0.0056739,           0.0040136,           0.0075646,           0.0075646,           0.0075646
                 125,            0.035314,            0.010523,           0.0077508,              0.7698,                   1,             0.92135,             0.71329,              0.0249,           0.0052686,           0.0041205,           0.0075448,           0.0075448,           0.0075448
                 126,            0.030445,           0.0093535,           0.0076828,             0.99535,                   1,               0.995,             0.64564,            0.025542,           0.0051963,           0.0043241,            0.007525,            0.007525,            0.007525
                 127,            0.032506,           0.0090067,           0.0066287,             0.87658,                   1,             0.97909,             0.65871,            0.034414,           0.0051727,           0.0043532,           0.0075052,           0.0075052,           0.0075052
                 128,            0.036924,           0.0094974,           0.0077942,             0.87658,                   1,             0.97909,             0.65871,            0.034414,           0.0051727,           0.0043532,           0.0074854,           0.0074854,           0.0074854
                 129,            0.036155,           0.0096314,              0.0074,             0.96494,                   1,             0.99143,             0.72485,            0.029756,           0.0051304,           0.0044343,           0.0074656,           0.0074656,           0.0074656
                 130,            0.034429,           0.0088301,           0.0086494,             0.76956,                0.95,             0.93377,             0.59254,            0.031081,           0.0050499,           0.0044076,           0.0074458,           0.0074458,           0.0074458
                 131,            0.036071,            0.010494,            0.008003,             0.95868,                   1,             0.99143,             0.75201,            0.027614,           0.0050669,           0.0045502,            0.007426,            0.007426,            0.007426
                 132,            0.036652,            0.011177,           0.0085926,             0.95868,                   1,             0.99143,             0.75201,            0.027614,           0.0050669,           0.0045502,           0.0074062,           0.0074062,           0.0074062
                 133,            0.030425,           0.0096909,           0.0074912,             0.99427,                   1,               0.995,             0.80636,            0.025537,           0.0049045,           0.0044481,           0.0073864,           0.0073864,           0.0073864
                 134,            0.033469,            0.010275,           0.0070843,             0.62465,             0.92636,              0.9054,              0.4921,            0.036461,           0.0054531,           0.0043182,           0.0073666,           0.0073666,           0.0073666
                 135,            0.042983,           0.0088022,           0.0064289,             0.91542,             0.98849,             0.98807,              0.6671,            0.032373,           0.0051497,           0.0042217,           0.0073468,           0.0073468,           0.0073468
                 136,            0.038001,              0.0102,           0.0062516,             0.91542,             0.98849,             0.98807,              0.6671,            0.032373,           0.0051497,           0.0042217,            0.007327,            0.007327,            0.007327
                 137,            0.032326,           0.0089918,           0.0080528,             0.82217,                   1,             0.97279,             0.68561,            0.027648,           0.0050535,              0.0042,           0.0073072,           0.0073072,           0.0073072
                 138,             0.03419,            0.010328,           0.0078843,             0.99472,                   1,               0.995,             0.72745,             0.02648,           0.0048417,           0.0041066,           0.0072874,           0.0072874,           0.0072874
                 139,            0.036827,           0.0093218,           0.0068775,             0.88895,                   1,             0.97441,             0.69233,             0.02781,           0.0049869,           0.0040347,           0.0072676,           0.0072676,           0.0072676
                 140,            0.033436,            0.010909,           0.0088541,             0.88895,                   1,             0.97441,             0.69233,             0.02781,           0.0049869,           0.0040347,           0.0072478,           0.0072478,           0.0072478
                 141,            0.028835,           0.0099424,           0.0067443,             0.99446,                   1,               0.995,             0.81289,            0.028057,           0.0046966,            0.004056,            0.007228,            0.007228,            0.007228
                 142,            0.027598,           0.0081956,           0.0063971,             0.97882,                   1,               0.995,             0.71717,            0.024777,           0.0048078,           0.0038651,           0.0072082,           0.0072082,           0.0072082
                 143,            0.031238,            0.010336,           0.0068565,             0.84186,                   1,             0.96551,             0.67982,            0.035185,           0.0048784,           0.0038195,           0.0071884,           0.0071884,           0.0071884
                 144,            0.038089,           0.0095907,           0.0082021,             0.84186,                   1,             0.96551,             0.67982,            0.035185,           0.0048784,           0.0038195,           0.0071686,           0.0071686,           0.0071686
                 145,            0.030185,            0.010015,           0.0070623,             0.84087,                   1,             0.98083,              0.7437,            0.025593,           0.0047255,           0.0038714,           0.0071488,           0.0071488,           0.0071488
                 146,            0.034843,           0.0078706,            0.010447,             0.90287,             0.94703,             0.99143,             0.67821,             0.04096,           0.0052623,           0.0061804,            0.007129,            0.007129,            0.007129
                 147,            0.045679,            0.008911,            0.006227,             0.94093,             0.95185,             0.98667,             0.73355,            0.025592,           0.0048293,           0.0075362,           0.0071092,           0.0071092,           0.0071092
                 148,            0.029923,             0.01013,           0.0078793,             0.94093,             0.95185,             0.98667,             0.73355,            0.025592,           0.0048293,           0.0075362,           0.0070894,           0.0070894,           0.0070894
                 149,             0.02772,            0.011186,           0.0069318,             0.91867,             0.97932,             0.98124,             0.81553,            0.018771,           0.0046628,            0.008349,           0.0070696,           0.0070696,           0.0070696
                 150,            0.029117,            0.010317,            0.012335,             0.95092,             0.95394,             0.98148,             0.69713,            0.033732,           0.0050397,           0.0067251,           0.0070498,           0.0070498,           0.0070498
                 151,            0.040086,           0.0098513,           0.0082696,             0.95718,             0.99753,             0.99262,             0.66679,            0.026056,           0.0047668,           0.0047551,             0.00703,             0.00703,             0.00703
                 152,            0.033591,            0.010543,           0.0065623,             0.95718,             0.99753,             0.99262,             0.66679,            0.026056,           0.0047668,           0.0047551,           0.0070102,           0.0070102,           0.0070102
                 153,            0.028453,            0.009423,            0.010378,             0.99254,                   1,               0.995,               0.815,            0.021104,           0.0047106,           0.0039757,           0.0069904,           0.0069904,           0.0069904
                 154,            0.027762,            0.010252,           0.0061948,             0.99157,                   1,               0.995,             0.74508,            0.021728,           0.0048211,           0.0039617,           0.0069706,           0.0069706,           0.0069706
                 155,            0.028193,           0.0087749,           0.0072677,             0.90645,                   1,             0.97128,             0.75208,            0.032086,           0.0048645,           0.0040142,           0.0069508,           0.0069508,           0.0069508
                 156,            0.037093,           0.0084265,           0.0073215,             0.90645,                   1,             0.97128,             0.75208,            0.032086,           0.0048645,           0.0040142,            0.006931,            0.006931,            0.006931
